type	latitude	longitude	altitude (m)	color	width	opacity	sym	name	desc
W	48.477088000	-120.187335000	539.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013L0	SR 20 bend
W	48.477817000	-120.185409000	540.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013M0	SR 20 turn
W	48.474126000	-120.177254000	535.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y013W0	SR 20/Main St
W	48.470263000	-120.173222000	535.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01430	Maint St/Center St
W	48.470694000	-120.172275000	539.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01440	Center St/Castle Av
W	48.468676000	-120.168757000	541.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01450	Castle Av/Twisp-Winthrop Eastside Rd
W	48.451950000	-120.149260000	551.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01460	Twisp-Winthrop Eastside Rd bend
W	48.358942000	-120.111981000	480.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01470	Twist-Winthrop Eastside Rd/SR 20
W	48.346453000	-120.078120000	467.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014F0	SR 20/SR 153
W	48.306069000	-120.053358000	450.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014H0	SR 153 (Pass Benson Creek Rd)
W	48.244185000	-120.117644000	434.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014L0	SR 153 bend (Pass Twisp-Carlton Rd)
W	48.208191000	-120.128080000	412.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014M0	SR 153 bend
W	48.138142000	-120.017610000	356.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014N0	SR 153 (Pass Burma Rd)
W	48.136550000	-120.008190000	353.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014R0	SR 153 bend
W	48.077760000	-120.011000000	312.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014T0	SR 153 bend (Pass Black Canyon Rd)
W	48.048277000	-119.901351000	244.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y014W0	SR 153/US 97
W	47.963649000	-119.878525000	241.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01510	Okanogan Co/Chelan Co Line
W	47.949657000	-119.877962000	273.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01520	US 97 (Pass rd to Wells Dam)
W	47.873010000	-119.920278000	277.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01540	US 97/US 97 Alt
W	47.872476000	-119.922119000	287.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01550	US 97 Alt bend
W	47.839283000	-119.996955000	371.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01560	US 97 Alt/US 97 Alt & E Woodin Av
W	47.839880000	-120.014777000	343.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015B0	US 97 Alt & E Woodin St/US 97 Alt & Saunders St
W	47.836225000	-120.016184000	335.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015H0	US 97 Alt & Saunders St/US 97 Alt & Webster Av (Cross Lake Chelan)
W	47.839708000	-120.089664000	341.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015K0	US 97-Alt/SR 971
W	47.874410000	-120.201180000	365.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015N0	SR 971 turn (El 1210')
W	47.873440000	-120.201759000	374.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015P0	SR 971 bend (Pass CR 199 El 1230')
W	47.866445000	-120.192361000	456.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015R0	SR 971 hairpin turn (El 1480')
W	47.863140000	-120.202789000	525.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015S0	SR 971 turn (Pass CR 130 El 1730')
W	47.829795000	-120.208754000	423.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015T0	SR 971 bend (Pass Johnson Cr Rd El 1440')
W	47.767272000	-120.185595000	276.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015U0	SR 971 bend (El 860')
W	47.767782000	-120.175238000	222.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015V0	SR 971/US 97 Alt (El 720')
W	47.750486000	-120.214142000	225.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015W0	US 97 Alt bend
W	47.722889000	-120.227852000	230.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y015X0	US 97 Alt bend
W	47.675241000	-120.208701000	242.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01610	US 97 Alt bend
W	47.630456000	-120.241545000	223.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01640	US 97 Alt bend
W	47.480807000	-120.320978000	201.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01660	US 97 Alt/Ohme Garden Rd
W	47.480858000	-120.321501000	200.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01670	Ohme Garden Rd bend
W	47.470553000	-120.335567000	236.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y016B0	Ohme GardenRd/Easy St
W	47.476153000	-120.341527000	266.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y016M0	Easy St bend
W	47.476591000	-120.369097000	260.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y016R0	Easy St bend
W	47.486583000	-120.378507000	261.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y016S0	Easy St bend
W	47.487029000	-120.412130000	215.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y016T0	Easy St/US 2 & US 97
W	47.520676000	-120.454059000	242.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y016W0	US 2 & US 97/Cottage Av
W	47.522050000	-120.469979000	241.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01720	Cottage Av/Division St
W	47.520331000	-120.469937000	244.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01730	Division St/Sunset Hwy
W	47.524326000	-120.497551000	279.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01740	Sunset Hwy/Stines Hill Rd
W	47.526853000	-120.502205000	295.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01750	Stines Hill Rd bend
W	47.530075000	-120.543195000	267.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01760	Stines Hill Rd/Kinney Rd
W	47.532176000	-120.550318000	290.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01770	Kinney Rd/Pine Flats Rd
W	47.534588000	-120.552047000	295.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01790	Pine Flats Rd bend
W	47.535394000	-120.561088000	304.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017A0	Pine Flats Rd/Deadman's Hill Rd
W	47.539675000	-120.575553000	392.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017B0	Deadman's Hill Rd bend
W	47.551831000	-120.582933000	330.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017C0	Deadman's Hill Rd bend
W	47.552948000	-120.581861000	326.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017D0	Deadman's Flat Rd/US 2 & US 97
W	47.557111000	-120.589413000	319.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017F0	US 2 & US 97/US 97 (El 1020')
W	47.553463000	-120.603833000	338.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017J0	US 97 bend (Pass Green Bridge Rd)
W	47.486791000	-120.651045000	498.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017K0	US 97 bend (El 1600')
W	47.432339000	-120.656398000	686.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017N0	US 97 (El 2200')
W	47.394465000	-120.646197000	793.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017P0	US 97 bend (El 2620')
W	47.358687000	-120.563116000	1057.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017R0	US 97 bend (El 3450')
W	47.335367000	-120.578899000	1256.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017S0	Blewett Pass (El 4102')
W	47.318701000	-120.692061000	893.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017U0	US 97 bend (El 2910')
W	47.242842000	-120.697604000	739.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017W0	US 97 (Pass Liberty Rd)
W	47.203660000	-120.707989000	677.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y017Z0	US 97 turn (Pass SR 970 El 2220')
W	47.132034000	-120.685372000	677.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01800	US 97 (Pass Elk Springs Rd)
W	47.037492000	-120.608468000	488.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01810	US 97 bend (Pass Dry Creek Rd)
W	47.034573000	-120.610827000	483.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01820	US 97 turn (El 1584')
W	47.021998000	-120.592502000	477.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01830	US 97/Old Hwy 10
W	47.012129000	-120.574994000	476.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01840	Old Hwy 10/Reeser Creek Rd
W	47.010798000	-120.575037000	477.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01850	Reeser Creek Rd/University Way
W	46.999555000	-120.555596000	465.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01870	University Way bend
W	46.999640000	-120.548816000	476.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01890	University Way/S Main St
W	46.984363000	-120.547829000	457.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018F0	S Main St/Canyon Rd SR 821
W	46.973701000	-120.540647000	452.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018K0	Under I-90
W	46.926169000	-120.510063000	436.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018L0	Canyon Rd SR 821/Thrall Rd
W	46.804998000	-120.440368000	406.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018P0	Canyon Rd SR 821 bend
W	46.801085000	-120.462075000	391.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018R0	Canyon Rd SR 281 bend
W	46.737098000	-120.449068000	413.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018U0	Kittitas Co/Yakima Co Line
W	46.680822000	-120.482682000	359.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018V0	Canyon Rd SR 821/Harrison Rd SR 823
W	46.671267000	-120.517530000	349.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y018W0	Harrison Rd SR 823/N Wenas Rd
W	46.686916000	-120.517402000	398.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019A0	N Wenas Rd/Nagler Rd
W	46.687002000	-120.530319000	406.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019B0	Nagler Rd/Gore Rd
W	46.701808000	-120.530791000	400.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019C0	Gore Rd/S Wenas Rd
W	46.754508000	-120.636792000	476.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019D0	S Wenas Rd /Naches-Wenas Rd
W	46.733480000	-120.683527000	475.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019F0	Naches-Wenas Rd/Old Naches Hwy
W	46.731849000	-120.680137000	472.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019H0	Naches-Wenas Rd turn (Pass Allan Rd)
W	46.731076000	-120.695329000	450.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019J0	Old Naches Hwy/2nd St
W	46.730905000	-120.700951000	448.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019K0	2nd St/Naches Av
W	46.732192000	-120.701037000	449.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019N0	Naches Av/W 3rd St
W	46.732192000	-120.705500000	451.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019R0	W 3rd St/Old Naches Hwy
W	46.734853000	-120.706475000	457.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019S0	Old Naches Hwy turn (Pass Simmons Cutoff Rd)
W	46.734896000	-120.721807000	458.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019T0	Old Naches Hwy
W	46.736827000	-120.721507000	463.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019U0	Old Naches Hwy turn
W	46.738180000	-120.732240000	465.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019V0	Old Naches Hwy turn
W	46.742706000	-120.732365000	481.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019W0	Old Naches Hwy turn
W	46.749550000	-120.759092000	492.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019X0	Old Naches Hwy bend
W	46.749417000	-120.787079000	497.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y019Z0	Old Naches Hwy bend
W	46.748328000	-120.788455000	493.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01A00	Old Naches Hwy/US 12
W	46.671197000	-120.974827000	681.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01A20	US 12 bend
W	46.676960000	-121.068883000	764.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01A50	US 12 bend
W	46.665164000	-121.125576000	842.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01A70	US 12 bend
W	46.657622000	-121.130354000	901.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AAF	US 12 tunnel
W	46.644216000	-121.153883000	897.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AB0	US 12 bend
W	46.659408000	-121.341092000	1251.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AE0	US 12 bend (El 4000')
W	46.643271000	-121.380172000	1343.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AH0	White Pass (El 4500')
W	46.623868000	-121.441547000	1164.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AK0	US 12 bend (El 3800')
W	46.669471000	-121.488707000	930.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AL0	US 12 bend (El 3030')
W	46.679145000	-121.538333000	736.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AN0	US 12 bend (El 2380')
W	46.696229000	-121.567137000	583.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AP0	US 12 bend (El 1890')
W	46.689869000	-121.578526000	510.6				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AR0	US 12 bend (El 1660')
W	46.685590000	-121.578420000	483.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y01AS0	SR 12 bend (Pass SR 123 El 1582')
W	48.992711000	-122.264948000	13.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y11010	SR 9 Cherry St/Haverstick Rd
W	48.993230000	-122.384605000	49.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y11020	Halverstick Rd/Hammer Rd
W	48.978553000	-122.385077000	40.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y11030	Hammer Rd/Pangborn Rd
W	48.979068000	-122.440653000	37.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y11040	Pangborn Rd/Bender Rd
W	48.946924000	-122.439365000	28.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y11060	Bender Rd/E Front St
W	48.944306000	-122.448120000	29.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y11090	E Front St/S 1st St
W	48.942718000	-122.447090000	19.5				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y110C0	S 1st St/Hannegan Rd
W	48.789425000	-122.442541000	57.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y110E0	Hannegan Rd/E Bakerview Rd
W	48.789550000	-122.514250000	59.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y110R0	Bakerview Rd/Pacific Hwy
W	46.685590000	-121.578420000	483.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21010	SR 12/SR 123 (El 1582')
W	46.717460000	-121.577580000	527.0				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21020	Mt. Rainier Nat'l Park boundary (El 1780')
W	46.754637000	-121.556768000	665.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21030	SR 123/Stevens Canyon Rd SR 706 (El 2190')
W	46.760151000	-121.558865000	678.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21040	Stevens Canyon Rd bend (El 2270')
W	46.708309000	-121.598499000	1037.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21050	Stevens Canyon Rd bend (El 3445')
W	46.765763000	-121.634849000	921.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21060	Stevens Canyon Rd bend (El 2990')
W	46.758858000	-121.643510000	946.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21070	Stevens Canyon Rd bend (El 3100')
W	46.775527000	-121.703027000	1224.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y21090	Stevens Canyon Rd bend (El 4020')
W	46.763616000	-121.695897000	1318.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210A0	Stevens Canyon Rd bend (El 4310')
W	46.769706000	-121.743268000	1491.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210B0	Stevens Canyon Rd bend (El 4900')
W	46.778359000	-121.738926000	1466.4				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210C0	Stevens Canyon Rd bend
W	46.779058000	-121.739582000	1464.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210D0	Stevens Canyon Rd SR 706/Paradise Rd (El 4780')
W	46.779748000	-121.739390000	1469.2				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210E0	Paradise Rd bend
W	46.778655000	-121.748803000	1516.7				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210F0	Paradise Rd bend (El 4930')
W	46.783273000	-121.750843000	1554.3				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210H0	Paradise Rd bend (El 5090')
W	46.781849000	-121.744907000	1586.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210J0	Paradise Rd bend
W	46.785175000	-121.744022000	1609.9				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210K0	Paradise Rd bend (El 5270')
W	46.783295000	-121.740974000	1630.8				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210L0	Paradise Rd bend
W	46.785672000	-121.733152000	1640.1				http://maps.google.com/mapfiles/kml/shapes/placemark_square.png	Y210M0	Paradise Rd/Paradise Valley Rd (El 5350')
